date_id,date,day,month,month_name,quarter,year,financial_year,week_of_year,day_of_week,is_weekend,is_public_holiday,is_eofy_month,season
20210607,2021-06-07,7,6,June,Q2,2021,FY2020/21,23,Monday,N,N,Y,Winter
20210608,2021-06-08,8,6,June,Q2,2021,FY2020/21,23,Tuesday,N,N,Y,Winter
20210609,2021-06-09,9,6,June,Q2,2021,FY2020/21,23,Wednesday,N,N,Y,Winter
20210610,2021-06-10,10,6,June,Q2,2021,FY2020/21,23,Thursday,N,N,Y,Winter
20210611,2021-06-11,11,6,June,Q2,2021,FY2020/21,23,Friday,N,N,Y,Winter
20210612,2021-06-12,12,6,June,Q2,2021,FY2020/21,23,Saturday,Y,N,Y,Winter
20210613,2021-06-13,13,6,June,Q2,2021,FY2020/21,23,Sunday,Y,N,Y,Winter
20210614,2021-06-14,14,6,June,Q2,2021,FY2020/21,24,Monday,N,N,Y,Winter
20210615,2021-06-15,15,6,June,Q2,2021,FY2020/21,24,Tuesday,N,N,Y,Winter
20210616,2021-06-16,16,6,June,Q2,2021,FY2020/21,24,Wednesday,N,N,Y,Winter
20210617,2021-06-17,17,6,June,Q2,2021,FY2020/21,24,Thursday,N,N,Y,Winter
20210618,2021-06-18,18,6,June,Q2,2021,FY2020/21,24,Friday,N,N,Y,Winter
20210619,2021-06-19,19,6,June,Q2,2021,FY2020/21,24,Saturday,Y,N,Y,Winter
20210620,2021-06-20,20,6,June,Q2,2021,FY2020/21,24,Sunday,Y,N,Y,Winter
20210621,2021-06-21,21,6,June,Q2,2021,FY2020/21,25,Monday,N,N,Y,Winter
20210622,2021-06-22,22,6,June,Q2,2021,FY2020/21,25,Tuesday,N,N,Y,Winter
20210623,2021-06-23,23,6,June,Q2,2021,FY2020/21,25,Wednesday,N,N,Y,Winter
20210624,2021-06-24,24,6,June,Q2,2021,FY2020/21,25,Thursday,N,N,Y,Winter
20210625,2021-06-25,25,6,June,Q2,2021,FY2020/21,25,Friday,N,N,Y,Winter
20210626,2021-06-26,26,6,June,Q2,2021,FY2020/21,25,Saturday,Y,N,Y,Winter
20210627,2021-06-27,27,6,June,Q2,2021,FY2020/21,25,Sunday,Y,N,Y,Winter
20210628,2021-06-28,28,6,June,Q2,2021,FY2020/21,26,Monday,N,N,Y,Winter
20210629,2021-06-29,29,6,June,Q2,2021,FY2020/21,26,Tuesday,N,N,Y,Winter
20210630,2021-06-30,30,6,June,Q2,2021,FY2020/21,26,Wednesday,N,N,Y,Winter
20210701,2021-07-01,1,7,July,Q3,2021,FY2021/22,26,Thursday,N,N,N,Winter
20210702,2021-07-02,2,7,July,Q3,2021,FY2021/22,26,Friday,N,N,N,Winter
20210703,2021-07-03,3,7,July,Q3,2021,FY2021/22,26,Saturday,Y,N,N,Winter
20210704,2021-07-04,4,7,July,Q3,2021,FY2021/22,26,Sunday,Y,N,N,Winter
20210705,2021-07-05,5,7,July,Q3,2021,FY2021/22,27,Monday,N,N,N,Winter
20210706,2021-07-06,6,7,July,Q3,2021,FY2021/22,27,Tuesday,N,N,N,Winter
20210707,2021-07-07,7,7,July,Q3,2021,FY2021/22,27,Wednesday,N,N,N,Winter
20210708,2021-07-08,8,7,July,Q3,2021,FY2021/22,27,Thursday,N,N,N,Winter
20210709,2021-07-09,9,7,July,Q3,2021,FY2021/22,27,Friday,N,N,N,Winter
20210710,2021-07-10,10,7,July,Q3,2021,FY2021/22,27,Saturday,Y,N,N,Winter
20210711,2021-07-11,11,7,July,Q3,2021,FY2021/22,27,Sunday,Y,N,N,Winter
20210712,2021-07-12,12,7,July,Q3,2021,FY2021/22,28,Monday,N,N,N,Winter
20210713,2021-07-13,13,7,July,Q3,2021,FY2021/22,28,Tuesday,N,N,N,Winter
20210714,2021-07-14,14,7,July,Q3,2021,FY2021/22,28,Wednesday,N,N,N,Winter
20210715,2021-07-15,15,7,July,Q3,2021,FY2021/22,28,Thursday,N,N,N,Winter
20210716,2021-07-16,16,7,July,Q3,2021,FY2021/22,28,Friday,N,N,N,Winter
20210717,2021-07-17,17,7,July,Q3,2021,FY2021/22,28,Saturday,Y,N,N,Winter
20210718,2021-07-18,18,7,July,Q3,2021,FY2021/22,28,Sunday,Y,N,N,Winter
20210719,2021-07-19,19,7,July,Q3,2021,FY2021/22,29,Monday,N,N,N,Winter
20210720,2021-07-20,20,7,July,Q3,2021,FY2021/22,29,Tuesday,N,N,N,Winter
20210721,2021-07-21,21,7,July,Q3,2021,FY2021/22,29,Wednesday,N,N,N,Winter
20210722,2021-07-22,22,7,July,Q3,2021,FY2021/22,29,Thursday,N,N,N,Winter
20210723,2021-07-23,23,7,July,Q3,2021,FY2021/22,29,Friday,N,N,N,Winter
20210724,2021-07-24,24,7,July,Q3,2021,FY2021/22,29,Saturday,Y,N,N,Winter
20210725,2021-07-25,25,7,July,Q3,2021,FY2021/22,29,Sunday,Y,N,N,Winter
20210726,2021-07-26,26,7,July,Q3,2021,FY2021/22,30,Monday,N,N,N,Winter
20210727,2021-07-27,27,7,July,Q3,2021,FY2021/22,30,Tuesday,N,N,N,Winter
20210728,2021-07-28,28,7,July,Q3,2021,FY2021/22,30,Wednesday,N,N,N,Winter
20210729,2021-07-29,29,7,July,Q3,2021,FY2021/22,30,Thursday,N,N,N,Winter
20210730,2021-07-30,30,7,July,Q3,2021,FY2021/22,30,Friday,N,N,N,Winter
20210731,2021-07-31,31,7,July,Q3,2021,FY2021/22,30,Saturday,Y,N,N,Winter
20210801,2021-08-01,1,8,August,Q3,2021,FY2021/22,30,Sunday,Y,N,N,Winter
20210802,2021-08-02,2,8,August,Q3,2021,FY2021/22,31,Monday,N,N,N,Winter
20210803,2021-08-03,3,8,August,Q3,2021,FY2021/22,31,Tuesday,N,N,N,Winter
20210804,2021-08-04,4,8,August,Q3,2021,FY2021/22,31,Wednesday,N,N,N,Winter
20210805,2021-08-05,5,8,August,Q3,2021,FY2021/22,31,Thursday,N,N,N,Winter
20210806,2021-08-06,6,8,August,Q3,2021,FY2021/22,31,Friday,N,N,N,Winter
20210807,2021-08-07,7,8,August,Q3,2021,FY2021/22,31,Saturday,Y,N,N,Winter
20210808,2021-08-08,8,8,August,Q3,2021,FY2021/22,31,Sunday,Y,N,N,Winter
20210809,2021-08-09,9,8,August,Q3,2021,FY2021/22,32,Monday,N,N,N,Winter
20210810,2021-08-10,10,8,August,Q3,2021,FY2021/22,32,Tuesday,N,N,N,Winter
20210811,2021-08-11,11,8,August,Q3,2021,FY2021/22,32,Wednesday,N,N,N,Winter
20210812,2021-08-12,12,8,August,Q3,2021,FY2021/22,32,Thursday,N,N,N,Winter
20210813,2021-08-13,13,8,August,Q3,2021,FY2021/22,32,Friday,N,N,N,Winter
20210814,2021-08-14,14,8,August,Q3,2021,FY2021/22,32,Saturday,Y,N,N,Winter
20210815,2021-08-15,15,8,August,Q3,2021,FY2021/22,32,Sunday,Y,N,N,Winter
20210816,2021-08-16,16,8,August,Q3,2021,FY2021/22,33,Monday,N,N,N,Winter
20210817,2021-08-17,17,8,August,Q3,2021,FY2021/22,33,Tuesday,N,N,N,Winter
20210818,2021-08-18,18,8,August,Q3,2021,FY2021/22,33,Wednesday,N,N,N,Winter
20210819,2021-08-19,19,8,August,Q3,2021,FY2021/22,33,Thursday,N,N,N,Winter
20210820,2021-08-20,20,8,August,Q3,2021,FY2021/22,33,Friday,N,N,N,Winter
20210821,2021-08-21,21,8,August,Q3,2021,FY2021/22,33,Saturday,Y,N,N,Winter
20210822,2021-08-22,22,8,August,Q3,2021,FY2021/22,33,Sunday,Y,N,N,Winter
20210823,2021-08-23,23,8,August,Q3,2021,FY2021/22,34,Monday,N,N,N,Winter
20210824,2021-08-24,24,8,August,Q3,2021,FY2021/22,34,Tuesday,N,N,N,Winter
20210825,2021-08-25,25,8,August,Q3,2021,FY2021/22,34,Wednesday,N,N,N,Winter
20210826,2021-08-26,26,8,August,Q3,2021,FY2021/22,34,Thursday,N,N,N,Winter
20210827,2021-08-27,27,8,August,Q3,2021,FY2021/22,34,Friday,N,N,N,Winter
20210828,2021-08-28,28,8,August,Q3,2021,FY2021/22,34,Saturday,Y,N,N,Winter
20210829,2021-08-29,29,8,August,Q3,2021,FY2021/22,34,Sunday,Y,N,N,Winter
20210830,2021-08-30,30,8,August,Q3,2021,FY2021/22,35,Monday,N,N,N,Winter
20210831,2021-08-31,31,8,August,Q3,2021,FY2021/22,35,Tuesday,N,N,N,Winter
20210901,2021-09-01,1,9,September,Q3,2021,FY2021/22,35,Wednesday,N,N,N,Spring
20210902,2021-09-02,2,9,September,Q3,2021,FY2021/22,35,Thursday,N,N,N,Spring
20210903,2021-09-03,3,9,September,Q3,2021,FY2021/22,35,Friday,N,N,N,Spring
20210904,2021-09-04,4,9,September,Q3,2021,FY2021/22,35,Saturday,Y,N,N,Spring
20210905,2021-09-05,5,9,September,Q3,2021,FY2021/22,35,Sunday,Y,N,N,Spring
20210906,2021-09-06,6,9,September,Q3,2021,FY2021/22,36,Monday,N,N,N,Spring
20210907,2021-09-07,7,9,September,Q3,2021,FY2021/22,36,Tuesday,N,N,N,Spring
20210908,2021-09-08,8,9,September,Q3,2021,FY2021/22,36,Wednesday,N,N,N,Spring
20210909,2021-09-09,9,9,September,Q3,2021,FY2021/22,36,Thursday,N,N,N,Spring
20210910,2021-09-10,10,9,September,Q3,2021,FY2021/22,36,Friday,N,N,N,Spring
20210911,2021-09-11,11,9,September,Q3,2021,FY2021/22,36,Saturday,Y,N,N,Spring
20210912,2021-09-12,12,9,September,Q3,2021,FY2021/22,36,Sunday,Y,N,N,Spring
20210913,2021-09-13,13,9,September,Q3,2021,FY2021/22,37,Monday,N,N,N,Spring
20210914,2021-09-14,14,9,September,Q3,2021,FY2021/22,37,Tuesday,N,N,N,Spring
20210915,2021-09-15,15,9,September,Q3,2021,FY2021/22,37,Wednesday,N,N,N,Spring
20210916,2021-09-16,16,9,September,Q3,2021,FY2021/22,37,Thursday,N,N,N,Spring
20210917,2021-09-17,17,9,September,Q3,2021,FY2021/22,37,Friday,N,N,N,Spring
20210918,2021-09-18,18,9,September,Q3,2021,FY2021/22,37,Saturday,Y,N,N,Spring
20210919,2021-09-19,19,9,September,Q3,2021,FY2021/22,37,Sunday,Y,N,N,Spring
20210920,2021-09-20,20,9,September,Q3,2021,FY2021/22,38,Monday,N,N,N,Spring
20210921,2021-09-21,21,9,September,Q3,2021,FY2021/22,38,Tuesday,N,N,N,Spring
20210922,2021-09-22,22,9,September,Q3,2021,FY2021/22,38,Wednesday,N,N,N,Spring
20210923,2021-09-23,23,9,September,Q3,2021,FY2021/22,38,Thursday,N,N,N,Spring
20210924,2021-09-24,24,9,September,Q3,2021,FY2021/22,38,Friday,N,N,N,Spring
20210925,2021-09-25,25,9,September,Q3,2021,FY2021/22,38,Saturday,Y,N,N,Spring
20210926,2021-09-26,26,9,September,Q3,2021,FY2021/22,38,Sunday,Y,N,N,Spring
20210927,2021-09-27,27,9,September,Q3,2021,FY2021/22,39,Monday,N,N,N,Spring
20210928,2021-09-28,28,9,September,Q3,2021,FY2021/22,39,Tuesday,N,N,N,Spring
20210929,2021-09-29,29,9,September,Q3,2021,FY2021/22,39,Wednesday,N,N,N,Spring
20210930,2021-09-30,30,9,September,Q3,2021,FY2021/22,39,Thursday,N,N,N,Spring
20211001,2021-10-01,1,10,October,Q4,2021,FY2021/22,39,Friday,N,N,N,Spring
20211002,2021-10-02,2,10,October,Q4,2021,FY2021/22,39,Saturday,Y,N,N,Spring
20211003,2021-10-03,3,10,October,Q4,2021,FY2021/22,39,Sunday,Y,N,N,Spring
20211004,2021-10-04,4,10,October,Q4,2021,FY2021/22,40,Monday,N,N,N,Spring
20211005,2021-10-05,5,10,October,Q4,2021,FY2021/22,40,Tuesday,N,N,N,Spring
20211006,2021-10-06,6,10,October,Q4,2021,FY2021/22,40,Wednesday,N,N,N,Spring
20211007,2021-10-07,7,10,October,Q4,2021,FY2021/22,40,Thursday,N,N,N,Spring
20211008,2021-10-08,8,10,October,Q4,2021,FY2021/22,40,Friday,N,N,N,Spring
